Date,Close
2012-05-25,3.955000
2012-05-29,4.173000
2012-05-30,4.123000
2012-05-31,4.090000
2012-06-01,4.129000
2012-06-04,4.162000
2012-06-05,4.117000
2012-06-06,4.037000
2012-06-08,4.462000
2012-06-11,4.503000
2012-06-12,4.339000
2012-06-13,4.424000
2012-06-14,4.338000
2012-06-15,4.351000
2012-06-18,4.481000
2012-06-19,4.340000
2012-06-20,4.507000
2012-06-21,4.512000
2012-06-22,4.441000
2012-06-25,4.449000
2012-06-26,4.420000
2012-06-27,4.474000
2012-06-28,4.467000
2012-06-29,4.487000
2012-07-02,4.664000
2012-07-03,4.565000
2012-07-04,4.537000
2012-07-05,4.495000
2012-07-06,4.543000
2012-07-09,4.476000
2012-07-10,4.495000
2012-07-11,4.603000
2012-07-12,4.569000
2012-07-13,4.561000
2012-07-16,4.642000
2012-07-17,4.625000
2012-07-18,4.718000
2012-07-19,4.630000
2012-07-20,4.636000
2012-07-23,4.568000
2012-07-24,4.460000
2012-07-25,4.485000
2012-07-26,4.443000
2012-07-27,4.480000
2012-07-30,4.495000
2012-07-31,4.522000
2012-08-01,4.508000
2012-08-02,4.496000
2012-08-03,4.462000
2012-08-06,4.664000
2012-08-07,4.717000
2012-08-08,4.717000
2012-08-09,4.773000
2012-08-10,4.970000
2012-08-13,4.882000
2012-08-14,4.932000
2012-08-15,4.908000
2012-08-16,4.895000
2012-08-17,4.924000
2012-08-20,4.503000
2012-08-21,4.491000
2012-08-22,4.492000
2012-08-23,4.452000
2012-08-24,4.445000
2012-08-27,4.486000
2012-08-28,4.446000
2012-08-29,4.423000
2012-08-30,4.353000
2012-08-31,4.318000
2012-09-03,4.536000
2012-09-04,4.427000
2012-09-05,4.376000
2012-09-06,4.322000
2012-09-07,4.386000
2012-09-10,4.350000
2012-09-11,4.428000
2012-09-12,4.590000
2012-09-13,4.456000
2012-09-14,4.467000
2012-09-17,4.565000
2012-09-18,4.475000
2012-09-19,4.513000
2012-09-20,4.520000
2012-09-21,4.452000
2012-09-24,4.466000
2012-09-25,4.377000
2012-09-26,4.471000
2012-09-27,4.466000
2012-09-28,4.463000
2012-10-01,4.470000
2012-10-02,4.494000
2012-10-04,4.447000
2012-10-05,4.376000
2012-10-08,4.462000
2012-10-09,4.461000
2012-10-10,4.393000
2012-10-11,4.323000
2012-10-12,4.322000
2012-10-15,4.266000
2012-10-16,4.290000
2012-10-17,4.396000
2012-10-18,4.425000
2012-10-19,4.419000
2012-10-22,4.421000
2012-10-23,4.375000
2012-10-24,4.272000
2012-10-25,4.199000
2012-10-26,4.172000
2012-10-29,4.313000
2012-10-30,4.278000
2012-10-31,4.257000
2012-11-02,4.234000
2012-11-05,4.151000
2012-11-06,4.242000
2012-11-07,4.231000
2012-11-08,4.217000
2012-11-09,4.189000
2012-11-12,4.188000
2012-11-13,4.237000
2012-11-14,4.368000
2012-11-15,4.275000
2012-11-16,4.392000
2012-11-19,4.451000
2012-11-20,4.386000
2012-11-21,4.310000
2012-11-22,4.215000
2012-11-23,4.146000
2012-11-26,4.150000
2012-11-27,4.253000
2012-11-28,4.282000
2012-11-29,4.386000
2012-11-30,4.352000
2012-12-03,4.420000
2012-12-04,4.380000
2012-12-05,4.394000
2012-12-06,4.370000
2012-12-07,4.393000
2012-12-10,4.295000
2012-12-11,4.291000
2012-12-12,4.429000
2012-12-13,4.397000
2012-12-14,4.410000
2012-12-17,4.440000
2012-12-18,4.443000
2012-12-19,4.462000
2012-12-20,4.503000
2012-12-21,4.499000
2012-12-27,4.464000
2012-12-28,4.577000
2013-01-02,4.505000
2013-01-03,4.573000
2013-01-04,4.628000
2013-01-07,4.767000
2013-01-08,4.720000
2013-01-09,4.653000
2013-01-10,4.715000
2013-01-11,4.648000
2013-01-14,4.632000
2013-01-15,4.641000
2013-01-16,4.557000
2013-01-17,4.543000
2013-01-18,4.583000
2013-01-21,4.538000
2013-01-22,4.536000
2013-01-23,4.527000
2013-01-24,4.471000
2013-01-25,4.427000
2013-01-28,4.272000
