Date,Close
2012-05-25,27.392000
2012-05-29,28.271000
2012-05-30,28.521999
2012-05-31,28.898001
2012-06-01,28.695999
2012-06-04,28.728001
2012-06-05,28.896999
2012-06-06,29.627001
2012-06-08,31.979000
2012-06-11,32.955002
2012-06-12,32.269001
2012-06-13,33.310001
2012-06-14,33.063999
2012-06-15,33.494999
2012-06-18,34.312000
2012-06-19,34.599998
2012-06-20,34.999001
2012-06-21,34.617001
2012-06-22,34.351002
2012-06-25,34.351002
2012-06-26,34.487999
2012-06-27,35.014000
2012-06-28,33.105000
2012-06-29,33.105000
2012-07-02,34.599998
2012-07-03,34.599998
2012-07-04,35.877998
2012-07-05,36.743000
2012-07-06,36.099998
2012-07-09,35.277000
2012-07-10,35.601002
2012-07-11,34.991001
2012-07-12,27.865999
2012-07-13,27.927000
2012-07-16,28.389000
2012-07-17,28.454000
2012-07-18,28.125000
2012-07-19,28.297001
2012-07-20,28.747000
2012-07-23,27.111000
2012-07-24,26.808001
2012-07-25,27.910000
2012-07-26,29.010000
2012-07-27,30.500000
2012-07-30,30.233999
2012-07-31,31.164000
2012-08-01,30.750000
2012-08-02,31.509001
2012-08-03,31.292999
2012-08-06,31.830999
2012-08-07,31.708000
2012-08-08,31.104000
2012-08-09,32.046001
2012-08-10,31.503000
2012-08-13,31.796000
2012-08-14,31.197001
2012-08-15,31.643000
2012-08-16,33.175999
2012-08-17,33.366001
2012-08-20,33.730999
2012-08-21,33.917999
2012-08-22,33.356998
2012-08-23,32.950001
2012-08-24,31.709999
2012-08-27,32.563999
2012-08-28,32.224998
2012-08-29,31.952999
2012-08-30,31.163000
2012-08-31,31.662001
2012-09-03,31.913000
2012-09-04,31.823999
2012-09-05,31.584000
2012-09-06,31.926001
2012-09-07,34.203999
2012-09-10,33.599998
2012-09-11,34.962002
2012-09-12,34.595001
2012-09-13,35.269001
2012-09-14,37.695000
2012-09-17,37.286999
2012-09-18,36.700001
2012-09-19,37.255001
2012-09-20,36.769001
2012-09-21,36.706001
2012-09-24,36.043999
2012-09-25,36.162998
2012-09-26,35.519001
2012-09-27,35.391998
2012-09-28,37.012001
2012-10-01,36.950001
2012-10-02,38.022999
2012-10-04,37.700001
2012-10-05,38.324001
2012-10-08,38.573002
2012-10-09,38.405998
2012-10-10,37.823002
2012-10-11,38.735001
2012-10-12,38.641998
2012-10-15,38.297001
2012-10-16,38.648998
2012-10-17,39.984001
2012-10-18,41.091999
2012-10-19,40.148998
2012-10-22,39.462002
2012-10-23,37.890999
2012-10-24,38.716999
2012-10-25,38.388000
2012-10-26,38.000000
2012-10-29,38.353001
2012-10-30,38.548000
2012-10-31,39.589001
2012-11-02,39.630001
2012-11-05,39.999001
2012-11-06,40.058998
2012-11-07,39.778000
2012-11-08,39.430000
2012-11-09,39.331001
2012-11-12,40.174000
2012-11-13,39.827999
2012-11-14,39.667000
2012-11-15,40.574001
2012-11-16,40.521000
2012-11-19,42.882999
2012-11-20,43.999001
2012-11-21,43.185001
2012-11-22,43.744999
2012-11-23,43.384998
2012-11-26,44.678001
2012-11-27,44.682999
2012-11-28,43.090000
2012-11-29,43.721001
2012-11-30,43.445000
2012-12-03,43.320999
2012-12-04,44.626999
2012-12-05,44.164001
2012-12-06,43.500000
2012-12-07,43.356998
2012-12-10,42.687000
2012-12-11,45.025002
2012-12-12,46.235001
2012-12-13,46.210999
2012-12-14,46.568001
2012-12-17,45.900002
2012-12-18,47.000000
2012-12-19,47.794998
2012-12-20,47.299000
2012-12-21,46.049999
2012-12-27,46.584999
2012-12-28,46.290001
2013-01-02,46.930000
2013-01-03,47.573002
2013-01-04,46.700001
2013-01-07,46.770000
2013-01-08,46.639000
2013-01-09,46.889999
2013-01-10,46.844002
2013-01-11,46.256001
2013-01-14,45.979000
2013-01-15,44.402000
2013-01-16,44.511002
2013-01-17,46.429001
2013-01-18,45.467999
2013-01-21,45.561001
2013-01-22,45.077999
2013-01-23,46.042999
2013-01-24,45.941002
2013-01-25,46.400002
2013-01-28,44.049999
2013-01-29,44.102001
2013-01-30,44.241001
2013-01-31,44.723000
2013-02-01,44.672001
2013-02-04,46.214001
2013-02-05,45.275002
2013-02-06,45.439999
2013-02-07,44.310001
2013-02-08,44.959999
2013-02-11,45.028999
2013-02-12,45.000000
2013-02-13,45.430000
2013-02-14,45.234001
2013-02-15,44.469002
2013-02-18,44.604000
2013-02-19,44.658001
2013-02-20,44.669998
2013-02-21,43.099998
2013-02-22,43.015999
2013-02-25,43.402000
2013-02-26,43.098000
2013-02-27,44.150002
2013-02-28,43.525002
2013-03-01,43.076000
2013-03-04,41.492001
2013-03-05,42.050999
2013-03-06,42.460999
2013-03-07,41.916000
2013-03-08,41.782001
2013-03-11,41.764000
2013-03-12,42.090000
2013-03-13,41.991001
2013-03-14,42.056999
2013-03-15,40.703999
2013-03-18,39.580002
2013-03-19,38.554001
2013-03-20,39.395000
2013-03-21,38.415001
2013-03-22,37.796001
2013-03-25,37.689999
